10,7,,2-5 days,15,,,20,13,7,,14
36,26,,6-30 days,33,,,29,38,35,,39
35,50,,31-119 days,39,,,32,29,34,,32
7,11,,120-364 days,7,,,3,11,11,,14
0,0,,All year,0,,,0,0,1,,0
34,45,,Total,44,,,82,48,60,,39
2,3,,1 day,6,,,10,6,9,,2
3,6,,2-5 days,9,,,17,6,7,,8
12,15,,6-30 days,10,,,30,8,15,,14
12,12,,31-119 days,8,,,19,20,15,,6
5,6,,120-364 days,10,,,6,8,13,,9
0,3,,All year,1,,,0,0,1,,0
,,,,,,,,,,Women,
2619,3030,,Total,2194,,,1691,2046,2949,,2346
137,140,,1 day,136,,,135,141,151,,125
253,248,,2-5 days,221,,,219,205,270,,207
619,731,,6-30 days,508,,,470,533,664,,591
938,1093,,31-119 days,797,,,584,692,1044,,822
615,755,,120-364 days,490,,,281,446,765,,552
57,63,,All year,42,,,2,29,55,,49
1014,1119,,Total,855,,,580,767,1100,,944
33,41,,1 day,36,,,31,33,30,,43
84,75,,2-5 days,57,,,57,42,69,,60
189,229,,6-30 days,138,,,119,150,224,,177
354,373,,31-119 days,320,,,203,266,379,,312
308,364,,120-364 days,268,,,168,251,359,,318
46,37,,All year,36,,,2,25,39,,34
431,466,,Total,359,,,224,284,458,,372
14,20,,1 day,16,,,8,11,13,,11
36,33,,2-5 days,39,,,27,20,37,,28
85,105,,6-30 days,88,,,72,71,87,,91
162,165,,31-119 days,127,,,77,111,167,,138
130,137,,120-364 days,88,,,40,70,146,,97
4,6,,All year,1,,,0,1,8,,7
452,547,,Total,339,,,267,340,508,,368
33,25,,1 day,18,,,21,28,36,,31
46,57,,2-5 days,37,,,46,48,51,,36
134,145,,6-30 days,104,,,86,126,131,,112
171,210,,31-119 days,133,,,94,106,192,,130
66,104,,120-364 days,46,,,20,31,98,,55
2,6,,All year,1,,,0,1,0,,4
434,557,,Total,358,,,316,359,523,,377
30,31,,1 day,25,,,30,30,30,,17
54,48,,2-5 days,36,,,31,48,58,,30
125,151,,6-30 days,101,,,96,99,126,,122
151,220,,31-119 days,140,,,126,116,200,,158
70,101,,120-364 days,55,,,33,65,106,,46
172,184,,Total,146,,,125,154,179,,158
10,7,,1 day,13,,,11,11,12,,8
15,13,,2-5 days,23,,,22,23,19,,26
59,51,,6-30 days,40,,,38,45,56,,47
65,81,,31-119 days,53,,,45,58,63,,58
22,29,,120-364 days,15,,,9,17,27,,19
0,3,,All year,2,,,0,0,2,,0
116,157,,Total,137,,,179,142,181,,127
17,16,,1 day,28,,,34,28,30,,15
18,22,,2-5 days,29,,,36,24,36,,27
27,50,,6-30 days,37,,,59,42,40,,42
35,44,,31-119 days,24,,,39,35,43,,26
,,,,,,,,,,Children,
2273,2574,,Total,1960,,,1728,1931,2370,,2165
80,80,,1 day,92,,,111,96,99,,86
234,212,,2-5 days,179,,,237,198,196,,171
599,612,,6-30 days,452,,,522,523,545,,582
826,1000,,31-119 days,741,,,568,665,880,,764
503,614,,120-364 days,472,,,290,439,622,,528
31,56,,All year,24,,,0,10,28,,34
841,923,,Total,669,,,549,636,876,,781
22,29,,1 day,25,,,20,24,26,,19
75,71,,2-5 days,34,,,43,39,55,,48
189,207,,6-30 days,111,,,131,120,181,,164
288,299,,31-119 days,258,,,190,216,312,,246
240,279,,120-364 days,220,,,165,227,286,,281
27,38,,All year,21,,,0,10,16,,23
397,470,,Total,334,,,238,322,406,,379
7,7,,1 day,6,,,6,13,10,,10
28,29,,2-5 days,29,,,33,23,28,,22
82,117,,6-30 days,98,,,83,85,69,,90
160,179,,31-119 days,105,,,77,125,164,,148
118,132,,120-364 days,96,,,39,76,129,,103
2,6,,All year,0,,,0,0,6,,6
424,432,,Total,358,,,283,363,420,,375
23,13,,1 day,21,,,24,22,22,,24
51,43,,2-5 days,37,,,61,55,44,,33
129,85,,6-30 days,91,,,91,137,105,,125
173,189,,31-119 days,151,,,84,110,169,,141
47,95,,120-364 days,56,,,23,39,80,,49
1,7,,All year,2,,,0,0,0,,3
418,495,,Total,369,,,365,366,434,,409
18,22,,1 day,24,,,30,19,18,,24
61,50,,2-5 days,42,,,37,55,49,,35
131,131,,6-30 days,96,,,123,100,119,,128
136,221,,31-119 days,143,,,134,126,166,,163
71,70,,120-364 days,64,,,41,66,81,,57
1,1,,All year,0,,,0,0,0,,2
152,176,,Total,156,,,147,159,139,,159
9,3,,1 day,8,,,11,5,5,,5
16,9,,2-5 days,24,,,32,18,8,,20
58,44,,6-30 days,42,,,41,66,48,,53
51,92,,31-119 days,67,,,51,51,46,,58
18,28,,120-364 days,15,,,12,19,30,,23
0,0,,All year,0,,,0,0,2,,0
41,78,,Total,74,,,146,85,95,,62
1,6,,1 day,8,,,20,13,18,,4
3,10,,2-5 days,13,,,31,8,12,,13
10,28,,6-30 days,14,,,53,15,23,,22
18,20,,31-119 days,17,,,32,37,23,,8
9,10,,120-364 days,21,,,10,12,16,,15
0,4,,All year,1,,,0,0,3,,0
´
